distribution,format,qsnr_db,fp16_qsnr_db,mean,std,min,max,crest,kurtosis,tags
Gaussian(σ=1),INT4,16.75389504501682,73.6728001483401,-0.019380560756939502,0.9974435856970041,-3.6484129428863525,3.178853750228882,3.657073432815361,-0.005722972122740089,gaussian
Gaussian(σ=1),INT4_FP,16.350463933975227,73.6728001483401,-0.019380560756939502,0.9974435856970041,-3.6484129428863525,3.178853750228882,3.657073432815361,-0.005722972122740089,gaussian
Gaussian(σ=1),FP4,19.065938753171544,73.6728001483401,-0.019380560756939502,0.9974435856970041,-3.6484129428863525,3.178853750228882,3.657073432815361,-0.005722972122740089,gaussian
Gaussian(σ=1),NF4,19.356307852555993,73.6728001483401,-0.019380560756939502,0.9974435856970041,-3.6484129428863525,3.178853750228882,3.657073432815361,-0.005722972122740089,gaussian
Gaussian(σ=1),NF4_FP8,19.244132496049513,73.6728001483401,-0.019380560756939502,0.9974435856970041,-3.6484129428863525,3.178853750228882,3.657073432815361,-0.005722972122740089,gaussian
Gaussian(σ=1),APoT4,17.559492302144616,73.6728001483401,-0.019380560756939502,0.9974435856970041,-3.6484129428863525,3.178853750228882,3.657073432815361,-0.005722972122740089,gaussian
Gaussian(σ=1),LOG4,14.08007099757125,73.6728001483401,-0.019380560756939502,0.9974435856970041,-3.6484129428863525,3.178853750228882,3.657073432815361,-0.005722972122740089,gaussian
Gaussian(σ=1),NVFP4,19.065938753171544,73.6728001483401,-0.019380560756939502,0.9974435856970041,-3.6484129428863525,3.178853750228882,3.657073432815361,-0.005722972122740089,gaussian
Gaussian(σ=1),MXINT4,17.429750334666842,73.6728001483401,-0.019380560756939502,0.9974435856970041,-3.6484129428863525,3.178853750228882,3.657073432815361,-0.005722972122740089,gaussian
Gaussian(σ=1),MXFP4,19.036106248383916,73.6728001483401,-0.019380560756939502,0.9974435856970041,-3.6484129428863525,3.178853750228882,3.657073432815361,-0.005722972122740089,gaussian
Laplace(b=1),INT4,14.007921102710746,73.62845060014222,0.0037496675887496167,1.4174024066388404,-6.870952606201172,7.664212703704834,5.407205356296469,2.7941245537643677,heavy-tail
Laplace(b=1),INT4_FP,13.260317171295013,73.62845060014222,0.0037496675887496167,1.4174024066388404,-6.870952606201172,7.664212703704834,5.407205356296469,2.7941245537643677,heavy-tail
Laplace(b=1),FP4,17.739314635375532,73.62845060014222,0.0037496675887496167,1.4174024066388404,-6.870952606201172,7.664212703704834,5.407205356296469,2.7941245537643677,heavy-tail
Laplace(b=1),NF4,16.77928588810931,73.62845060014222,0.0037496675887496167,1.4174024066388404,-6.870952606201172,7.664212703704834,5.407205356296469,2.7941245537643677,heavy-tail
Laplace(b=1),NF4_FP8,16.912312207117257,73.62845060014222,0.0037496675887496167,1.4174024066388404,-6.870952606201172,7.664212703704834,5.407205356296469,2.7941245537643677,heavy-tail
Laplace(b=1),APoT4,14.302289160477917,73.62845060014222,0.0037496675887496167,1.4174024066388404,-6.870952606201172,7.664212703704834,5.407205356296469,2.7941245537643677,heavy-tail
Laplace(b=1),LOG4,14.17116580214665,73.62845060014222,0.0037496675887496167,1.4174024066388404,-6.870952606201172,7.664212703704834,5.407205356296469,2.7941245537643677,heavy-tail
Laplace(b=1),NVFP4,17.739314635375532,73.62845060014222,0.0037496675887496167,1.4174024066388404,-6.870952606201172,7.664212703704834,5.407205356296469,2.7941245537643677,heavy-tail
Laplace(b=1),MXINT4,16.305910762636124,73.62845060014222,0.0037496675887496167,1.4174024066388404,-6.870952606201172,7.664212703704834,5.407205356296469,2.7941245537643677,heavy-tail
Laplace(b=1),MXFP4,18.162944148873827,73.62845060014222,0.0037496675887496167,1.4174024066388404,-6.870952606201172,7.664212703704834,5.407205356296469,2.7941245537643677,heavy-tail
Student-t(ν=3),INT4,4.388222453147043,73.89070111169771,-0.03390078673711372,1.6158528087552522,-11.656150817871094,23.78384017944336,14.71582520729161,16.767157370412537,heavy-tail
